edit_history_tweet_ids,author_id,created_at,id,text
['1912285051712336072'],14787749,2025-04-15T23:20:59.000Z,1912285051712336072,"We’re excited to announce the launch of our free CommBank Financial Fitness program, available to all, to help you make your money go a little further today and plan for a brighter tomorrow: https://t.co/oPdmNtCKM5"
['1912285049241944190'],14787749,2025-04-15T23:20:58.000Z,1912285049241944190,"Which one are you? Let us know in the comments 👇
a) Has lost all track of what subscriptions you’re signed up for 📺
b) Pops into the grocery store at least a few times a week 🛒
c) Has been on the same phone plan as long as you can remember 📱
d) All of the above!"
['1912134855514890426'],14787749,2025-04-15T13:24:09.000Z,1912134855514890426,"@sabahlaw Hi there, you've taken the time to share this and I'm curious to hear more. If you'd like to discuss this further, please feel free to send me a DM and we can chat more there. ^Jay"
['1912130000461127971'],14787749,2025-04-15T13:04:52.000Z,1912130000461127971,"@iHAM316 Please send me a direct message with your full name, contact number and postcode, once this has been received, I will be in touch. Thanks, ^Sy"
['1912129972401258762'],14787749,2025-04-15T13:04:45.000Z,1912129972401258762,@iHAM316 I would like to investigate this further and report the faulty ATM to our team. You can locate your nearest CBA ATM via our website: https://t.co/qVKnA26cbt.
['1912129935231291674'],14787749,2025-04-15T13:04:36.000Z,1912129935231291674,"@iHAM316 Hi Isaac, I'm so sorry you have had this experience, and I understand how stressful this must have been for you."
['1912074320744177798'],14787749,2025-04-15T09:23:37.000Z,1912074320744177798,"@NagwekarDinesh Hi Dinesh. I can hear your frustration. To lodge your concerns, please send us a DM. ^Rina"
['1912058446297661534'],14787749,2025-04-15T08:20:32.000Z,1912058446297661534,"@NagwekarDinesh Hi Dinesh, sorry to hear you had experienced this over the phone. To lodge your concerns, please send us a DM, happy to chat. ^Dell"
['1911586206124843308'],14787749,2025-04-14T01:04:01.000Z,1911586206124843308,"@aliciagjones Hi there Alicia, if you would like me to lodge a complaint for you so your comments can be reported back the relevant management, and they know how you have been affected feel free to reach out on a DM. ^Nat"
['1910857486917333471'],14787749,2025-04-12T00:48:21.000Z,1910857486917333471,"@hungnguyen1711 I do hear you and understand where you are coming from, to best assist you regarding those fees please speak with our help desk 13 22 21 or DM us to get connected. ^Jem"
['1910855400259453216'],14787749,2025-04-12T00:40:04.000Z,1910855400259453216,"@hungnguyen1711 Hey there, sorry for the inconvenience. To best assist please call our help desk 13 22 21. Alternatively, DM us to connect you. ^Jem"
['1910568289455243424'],14787749,2025-04-11T05:39:11.000Z,1910568289455243424,"@wade396 Hi Tanya, the maintenance was this morning. Credit card, debit card, Travel Money Card accounts and some card settings may be affected between 4:30am - 6:30am AEST Friday 11 April 2025. ^Mia"
['1910553684830019824'],14787749,2025-04-11T04:41:09.000Z,1910553684830019824,@goudagoddess Excellent I am glad that is resolved for you. ^Nat
['1910534302577943048'],14787749,2025-04-11T03:24:08.000Z,1910534302577943048,"@BenSilver_music Hi Ben. Based on the information you have provided, this may be for our ‘Know Your Customer’ (KYC) requirements. More information about confirming your details can be found here:
https://t.co/9m5hisPubF"
['1910528802763264276'],14787749,2025-04-11T03:02:17.000Z,1910528802763264276,"@_Tolaa The below link provides information regarding cryptocurrency and other payments:
https://t.co/S4yG8l3zfc"
['1910528761180868823'],14787749,2025-04-11T03:02:07.000Z,1910528761180868823,"@_Tolaa Hi there. Sorry if you have been unable to access your accounts. If you need assistance, please contact us on 132221, message us through the CommBank app, or send me a DM so I can get details to assist you."
['1910471687323418922'],14787749,2025-04-10T23:15:19.000Z,1910471687323418922,"@goudagoddess Hi there Claire, Can I ask have you tried deleting the app and reinstalling? This is to reset functionality and ensure you have the most recent version installed on your phone. ^Nat"
['1910396204380545216'],14787749,2025-04-10T18:15:23.000Z,1910396204380545216,"@zac_drayson Hi Zac, thank you for your message, so we can assist you further could you please send me a DM so that I can collect more details to look into this for you. ^Anna"
['1910240719018848686'],14787749,2025-04-10T07:57:32.000Z,1910240719018848686,"@kool_kel1 Could I ask that you delete it? For our full privacy policy, you can refer to https://t.co/QinflmrEkm ^Dell"
['1910240583412855288'],14787749,2025-04-10T07:57:00.000Z,1910240583412855288,"@kool_kel1 I notice that you've shared screenshot with account number. Please don't proactively provide personal information. We'll only ever ask for information to assist with an enquiry, this is to ensure the protection of personal information."
['1910233937357766960'],14787749,2025-04-10T07:30:35.000Z,1910233937357766960,"@kool_kel1 Hi Kelly, our systems are fully functional at the moment. If you're still unable to complete the BPAY, please send me a DM for further assistance. ^Siji"
['1909902833140568200'],14787749,2025-04-09T09:34:54.000Z,1909902833140568200,"@CannonBall_____ Hello Cannonball, if you would like to look at our rates. here is link with more information https://t.co/yYrgTBA9zR ^Christine"
['1909885228728078636'],14787749,2025-04-09T08:24:57.000Z,1909885228728078636,@Lilens You can also lodge your dissatisfaction about a product or service we offer through our ‘Complaints’ page.  ^Dell
['1909885177167532269'],14787749,2025-04-09T08:24:44.000Z,1909885177167532269,"@Lilens Could you please send me a private message. If there’s no response in 24 hours, this will automatically be closed, but if you still need a hand, you can message through the CommBank app or call 13 2221 8am-8pm AEST."
['1909885125317525533'],14787749,2025-04-09T08:24:32.000Z,1909885125317525533,"@Lilens Hi Lilen - To understand how to help you best, I need a little bit more information.
Can you confirm if you've contacted the Personal Loans team?"
